,product,alt_name,PFAM,GO_function,GO_process,GO_component,TransMembrane,SECRETED,antiSMASH,MEROPS,EggNog,COG,BUSCO,CAZy,SMCOG,CPSG,CiRS,WT.S/WT.H,p(WT.S/WT.H),Cp_S/Cp_H,p(Cp_S/Cp_H),Beyhan_exp,Whiston_exp
D8B26_005074,hypothetical protein,,,,,,4 (i69-93o113-131i152-184o590-613i),,,,ENOG410PSW1,,,,,CPSG_04934,CIMG_00200,-0.743155144502218,0.178637775238714,-3.09744714924974,8.54914978888115e-06,no upreg,hyphae_upreg
D8B26_005075,Glycosylphosphatidylinositol (GPI) anchor assembly protein,GPI11,PF06699,, GO:0006506 - GPI anchor biosynthetic process, GO:0005789 - endoplasmic reticulum membrane,6 (i37-55o67-87i125-148o154-175i196-216o222-240i),,,,ENOG410PMW8,G,12744at33183,,,CPSG_04935,CIMG_00201,-1.06716969269485,0.00110200304906063,-0.854291934452847,0.000313656694814931,hyphae_upreg,no upreg
D8B26_005076,hypothetical protein,,,,,,,,,,ENOG410PXZA,,,,,CPSG_04936,CIMG_00202,0.761288582130852,0.27644426559519,-4.77666718699183,3.66286847633422e-08,no upreg,hyphae_upreg
D8B26_005077,hypothetical protein,,,,,,,,,,ENOG410PPP1,S,6789at33183,,,CPSG_04937,CIMG_00203,-4.63481252035661,5.42011884188587e-05,-4.67103508035689,2.47112334498848e-06,hyphae_upreg,hyphae_upreg
D8B26_005078,hypothetical protein,,,,,,2 (o90-112i124-144o),,,,,,,,,CPSG_04938,,-0.947863995581223,0.00976588015979501,-0.386942962559081,0.153248063347856,no upreg,no upreg
D8B26_005079,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,
D8B26_005080,hypothetical protein,,PF04851;PF13086;PF13087;PF13245;PF13604,,,,,,,,ENOG410PFJA,L,4271at33183,,,CPSG_04940,CIMG_00205,0.200512682077094,0.48791898587276,1.26594827649454,1.01344566262959e-05,no upreg,spherule_upreg
D8B26_005081,hypothetical protein,,PF00072;PF00512;PF00989;PF02518;PF08448;PF13426," GO:0016772 - transferase activity, transferring phosphorus-containing groups; GO:0000155 - phosphorelay sensor kinase activity", GO:0016310 - phosphorylation; GO:0000160 - phosphorelay signal transduction system; GO:0007165 - signal transduction,,,,,,ENOG410PJ83,T,,,,CPSG_04941,CIMG_00206,1.31470963757685,0.00581196098705194,1.80751266983851,8.83021332778344e-05,spherule_upreg,spherule_upreg
D8B26_005082,hypothetical protein,,,,,,,SignalP(1-24),,,ENOG410Q0JU,,,,,CPSG_04943,CIMG_00208,-0.693898325963514,0.0915341782529305,0.598345667102157,0.0657811182728871,no upreg,no upreg
D8B26_005083,hypothetical protein,,PF00179,,,,,,,,ENOG410PQC3,O,14517at33183,,,CPSG_04944,CIMG_00209,-0.0220030843559789,0.924271611623142,0.607912764604183,0.0204900877338983,no upreg,no upreg
D8B26_005084,DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase,NTG2,PF00633;PF00730, GO:0003677 - DNA binding; GO:0019104 - DNA N-glycosylase activity; GO:0003906 - DNA-(apurinic or apyrimidinic site) endonuclease activity; GO:0003824 - catalytic activity," GO:0006284 - base-excision repair; GO:0006281 - DNA repair; GO:0006285 - base-excision repair, AP site formation", GO:0005634 - nucleus,,,,,ENOG410PIPF,L,7644at33183,,,CPSG_04945,CIMG_00210,-0.149786691722674,0.44648504338073,0.970935331469748,0.000153295168370211,no upreg,no upreg
D8B26_005085,hypothetical protein,,,,,,,,,,ENOG410PZZ4,,,,,CPSG_04946,CIMG_00211,3.63278816434009,0.00455083469416333,0.801876692579497,0.153145760828186,spherule_upreg,no upreg
D8B26_005086,hypothetical protein,,PF09423;PF16655, GO:0003993 - acid phosphatase activity; GO:0046872 - metal ion binding,,,,,,,ENOG410PJBQ,H,,,,CPSG_04950,CIMG_00215,-2.09012792159685,0.00669504383160539,-0.241808799323797,0.522745461901973,hyphae_upreg,no upreg
D8B26_005087,hypothetical protein,,PF01179;PF02728, GO:0008131 - primary amine oxidase activity; GO:0005507 - copper ion binding; GO:0048038 - quinone binding, GO:0009308 - amine metabolic process; GO:0055114 - oxidation-reduction process,,,,,,ENOG410PF88,Q,,,,CPSG_04951,CIMG_00216,-3.10277390228729,0.00815305216197043,-0.849974848947351,0.0215782629030875,hyphae_upreg,no upreg
D8B26_005088,Cell morphogenesis protein PAG1,TAO3,PF14222;PF14225,, GO:0000902 - cell morphogenesis,,,,,,ENOG410PGFZ,S,43at33183,,,CPSG_04953,CIMG_00218,0.921378218999608,0.0141052908022589,0.573190573740256,0.00202628662992387,no upreg,no upreg
D8B26_005089,NADPH-cytochrome P450 reductase,NCP1,PF00175;PF00258;PF00667, GO:0010181 - FMN binding; GO:0016491 - oxidoreductase activity; GO:0003958 - NADPH-hemoprotein reductase activity, GO:0055114 - oxidation-reduction process,,,,,,ENOG410PGVU,C,2255at33183,,,CPSG_04955,CIMG_00220,-0.121304318590841,0.766582406938753,0.426677977559583,0.0678741267465147,no upreg,no upreg
D8B26_005090,hypothetical protein,,PF00076, GO:0003676 - nucleic acid binding,,,,,,,ENOG410PI61,S,2928at33183,,,CPSG_04956,CIMG_10503,1.69230533373679,0.0176655222418295,2.88189390275671,1.24492865921734e-07,spherule_upreg,spherule_upreg
D8B26_005091,hypothetical protein,,PF01507, GO:0003824 - catalytic activity,,,,,,,ENOG410PN2E,H,312209at4751;11185at33183,,,CPSG_04957,CIMG_00223,-0.699758589603343,0.0761381806521693,-0.967269438243109,0.0026483044066054,no upreg,no upreg
D8B26_005092,replication factor A protein 2,RFA2,PF08784, GO:0003677 - DNA binding, GO:0006260 - DNA replication; GO:0006281 - DNA repair; GO:0006310 - DNA recombination, GO:0005634 - nucleus,,,,,ENOG410PNZK,L,13058at33183,,,CPSG_04958,CIMG_00224,-0.844936495117477,0.00231728574229635,0.0129408358603733,0.947672291990902,no upreg,no upreg
D8B26_005093,ATP-dependent RNA helicase dbp10,DBP10,PF00270;PF00271;PF08147, GO:0003723 - RNA binding; GO:0003724 - RNA helicase activity; GO:0005524 - ATP binding; GO:0003676 - nucleic acid binding,, GO:0005634 - nucleus,,,,,ENOG410PHMJ,A,111189at4751;1555at33183,,,CPSG_04959,CIMG_00225,0.266669749123776,0.261712959243241,0.548170500126884,0.00501783779610784,no upreg,no upreg
D8B26_005095,hypothetical protein,,,,,,,,,,,,,,,CPSG_04964,CIMG_10505,1.719157481074,0.0708940480960148,2.70863029010339,0.000892194564096993,no upreg,spherule_upreg
D8B26_005096,hypothetical protein,,," GO:0000981 - DNA-binding transcription factor activity, RNA polymerase II-specific; GO:0008270 - zinc ion binding"," GO:0006355 - regulation of transcription, DNA-templated", GO:0042025 - host cell nucleus,,,,,ENOG410PY2I,S,8649at33183,,,CPSG_04966,CIMG_00230,0.869980930297035,0.0110640089202052,0.677774203243857,0.00824126236861463,no upreg,no upreg
D8B26_005097,hypothetical protein,,PF00324;PF13520,, GO:0055085 - transmembrane transport; GO:0006865 - amino acid transport, GO:0016020 - membrane; GO:0016021 - integral component of membrane,11 (o53-71i83-111o131-154i161-182o188-212i276-297o327- 352i372-395o401-422i443-464o476-496i),,,,ENOG410PHJU,E,5255at33183,,,CPSG_04967,CIMG_00231,2.94523823277429,0.00013270913174714,0.936974392554007,0.00405178917505414,spherule_upreg,no upreg
D8B26_005098,ATP-dependent RNA helicase dbp4,DBP4,PF00270;PF00271;PF04851;PF13959, GO:0003676 - nucleic acid binding; GO:0005524 - ATP binding,,,,,,,ENOG410PFU2,A,2469at33183,,,CPSG_04969,CIMG_00232,0.746067321536011,0.024442733275274,-0.022594843421321,0.912791412406291,no upreg,no upreg
D8B26_005099,hypothetical protein,,PF00226,,,,,,,,ENOG410PJYX,O,15302at33183,,,CPSG_04970,CIMG_00233,-0.0187161297720531,0.928403413608108,0.278619488327258,0.181553667981222,no upreg,no upreg
D8B26_005100,hypothetical protein,,PF01554, GO:0042910 - xenobiotic transmembrane transporter activity; GO:0015297 - antiporter activity, GO:0055085 - transmembrane transport, GO:0016020 - membrane,12 (i198-220o226-246i276-294o306-328i340-362o368-394i415- 436o448-471i492-510o530-548i569-587o593-613i),,,,ENOG410PFXB,V,4276at33183,,,CPSG_04971,CIMG_00234,-0.345320161973509,0.207936917386199,0.925880428314159,0.0016338213471944,no upreg,no upreg
D8B26_005101,hypothetical protein,,PF02656,,,,3 (o78-95i107-130o150-170i),,,,ENOG410PPKT,S,14476at33183,,,CPSG_04972,CIMG_00235,0.175382493166906,0.422065525186401,-0.914786620685392,0.000981396793574351,no upreg,no upreg
D8B26_005102,isopentenyl-diphosphate delta-isomerase idi1,IDI1,PF00293, GO:0004452 - isopentenyl-diphosphate delta-isomerase activity; GO:0016787 - hydrolase activity, GO:0008299 - isoprenoid biosynthetic process,,,,,,ENOG410PGVF,Q,350840at4751;12292at33183,,,CPSG_04973,CIMG_00236,-2.2236792801945,0.000470512229887471,-1.10274613292947,8.49691996156558e-05,hyphae_upreg,hyphae_upreg
D8B26_005103,hypothetical protein,,PF00096,,,,,,,,ENOG410PK41,K,9063at33183,,,CPSG_04975,CIMG_00238,-0.0424987538600887,0.946461136695142,,1.0,no upreg,
D8B26_005104,Serine/threonine-protein kinase,VPS15,PF00069;PF00400;PF07714, GO:0004672 - protein kinase activity; GO:0005524 - ATP binding; GO:0005515 - protein binding, GO:0006468 - protein phosphorylation,,,,,,ENOG410PI6P,T,123277at4751;176at33183,,,CPSG_04978,CIMG_00240,-0.436897044871634,0.118985403453856,-0.671624210004401,0.000858051610356783,no upreg,no upreg
D8B26_005105,hypothetical protein,,PF00023;PF12796;PF13606;PF13637, GO:0005515 - protein binding,,,,,,,,,,,,CPSG_04979,CIMG_10511,0.0620055962028419,0.909417697036937,,1.0,no upreg,
D8B26_005106,hypothetical protein,,PF00566,,,,,,,,ENOG410PGQR,U,1333at33183,,,CPSG_04980,CIMG_00242,0.0647169293591503,0.79531932801169,1.11749279773862,9.14247082022111e-05,no upreg,spherule_upreg
D8B26_005107,hypothetical protein,,PF00106;PF08659;PF13561,,,,,,,,ENOG410PG47,Q,10793at33183,,,CPSG_04981,CIMG_00243,-0.820860447810294,0.0622821358863021,0.0806019840910652,0.84580761715462,no upreg,no upreg
D8B26_005108,hypothetical protein,,PF04438,,,,,,,,ENOG410PK1P,S,10005at33183,,,CPSG_04982,CIMG_00244,0.385538318201831,0.199155353173154,1.43487573332632,2.23534077782552e-05,no upreg,spherule_upreg
D8B26_005109,hypothetical protein,,PF02141;PF03456,,,,,,,,ENOG410PMFR,T,1118at33183,,,CPSG_04985,CIMG_00245,-3.01841421409298,0.00429934851063213,-2.75234218978326,5.40605088744388e-05,hyphae_upreg,hyphae_upreg
D8B26_005110,hypothetical protein,,,,,,,,,,ENOG410PU8K,S,5310at33183,,,CPSG_04987,CIMG_00246,-1.66070282596128,0.000792555786082522,-1.40153361681825,3.21327233943581e-06,hyphae_upreg,hyphae_upreg
D8B26_005111,hypothetical protein,,," GO:0004553 - hydrolase activity, hydrolyzing O-glycosyl compounds", GO:0005975 - carbohydrate metabolic process,,,SignalP(1-20),,,ENOG410PJ8X,S,6977at33183,GH16,,CPSG_04989,CIMG_00249,-2.1032524433642,0.00394565265681049,,1.0,hyphae_upreg,
D8B26_005112,Smt3-specific protease,ULP1,PF02902, GO:0008234 - cysteine-type peptidase activity, GO:0006508 - proteolysis,,,,,MER0005204,ENOG410PK3D,O,,,,CPSG_04991,CIMG_00251,0.814660668573916,0.00852420696505344,-0.54771225060883,0.0147881159104843,no upreg,no upreg
D8B26_005113,hypothetical protein,,PF01569,,,,8 (o59-82i94-115o166-184i191-213o219-238i250-272o292- 312i515-536o),,,,ENOG410PJT6,I,4487at33183,,,CPSG_04992,CIMG_00252,0.339347530196385,0.10046360271032,0.58340979013227,0.00899325279513357,no upreg,no upreg
D8B26_005114,Rho GTPase,RHO4,PF00071;PF08477, GO:0003924 - GTPase activity; GO:0005525 - GTP binding, GO:0007264 - small GTPase mediated signal transduction,,,,,,ENOG410PFVZ,S,11552at33183,,,CPSG_04994,CIMG_00254,-1.59123059114237,0.00507569534496702,-0.865056044239344,0.000984224553615465,hyphae_upreg,no upreg
D8B26_005115,hypothetical protein,,PF08649,, GO:0007052 - mitotic spindle organization, GO:0072686 - mitotic spindle; GO:0042729 - DASH complex,,,,,ENOG410PSSK,S,,,,CPSG_04995,CIMG_00255,-0.169589160928654,0.4814484605008,0.79994500018826,0.00206298634748726,no upreg,no upreg
D8B26_005116,hypothetical protein,,PF01423,," GO:0000398 - mRNA splicing, via spliceosome; GO:0000387 - spliceosomal snRNP assembly", GO:0005732 - small nucleolar ribonucleoprotein complex; GO:0005681 - spliceosomal complex,,,,,ENOG410PS3G,A,,,,CPSG_04996,CIMG_00256,0.567006210975944,0.0319834856245036,-0.147850160797717,0.509296621185883,no upreg,no upreg
D8B26_005117,hypothetical protein,,,,,,,,,,ENOG410Q54G,,,,,CPSG_04998,,2.92928255611382,0.00163416389650203,-0.886843976366262,0.00410981979909462,spherule_upreg,no upreg
D8B26_005118,hypothetical protein,,PF05907,,,,,,,,ENOG410PP1C,S,,,,CPSG_04999,CIMG_00259,0.652918491840441,0.103133544184185,0.909473743799776,0.000689621439493114,no upreg,no upreg
D8B26_005119,hypothetical protein,,PF01494;PF07976, GO:0071949 - FAD binding,,,1 (i7-29o),,,,ENOG410PGID,"C,H",3153at33183,,,CPSG_05000,CIMG_00260,-0.249341444076455,0.673218298056095,-0.0430477019427213,0.868421451335087,no upreg,no upreg
D8B26_005120,hypothetical protein,,,,,,,,,,ENOG410PRRP,S,5890at33183,,,CPSG_05002,CIMG_00262,2.99962500699808,0.000590972986590002,,1.0,spherule_upreg,
D8B26_005121,hypothetical protein,,PF02862, GO:0046872 - metal ion binding,,,,,,,ENOG410PH35,"I,U",1199at33183,,,CPSG_05003,CIMG_00263,0.702990079170827,0.00588803107992031,0.202955609897926,0.34525537671045,no upreg,no upreg
D8B26_005122,hypothetical protein,,PF00994;PF03453;PF03454,, GO:0032324 - molybdopterin cofactor biosynthetic process; GO:0006777 - Mo-molybdopterin cofactor biosynthetic process,,,,,,ENOG410PIEQ,H,3226at33183,,,CPSG_05004,CIMG_00264,-0.396530035244294,0.0804125448382957,-0.646251613558971,0.00395544113621958,no upreg,no upreg
D8B26_005123,H(+)-transporting V0 sector ATPase subunit c'',VMA16,PF00137, GO:0015078 - proton transmembrane transporter activity, GO:1902600 - proton transmembrane transport," GO:0033179 - proton-transporting V-type ATPase, V0 domain; GO:0033177 - proton-transporting two-sector ATPase complex, proton-transporting domain",5 (i7-23o43-65i86-108o128-153i165-190o),,,,ENOG410PGFJ,C,445401at4751;15162at33183,,,CPSG_05005,CIMG_00265,-0.0461077408536514,0.82142614965685,-0.214757126712095,0.171143545126099,no upreg,no upreg
D8B26_005124,Ras- protein Rab-6A,RAB6A,PF00025;PF00071;PF01926;PF04670;PF08477;PF09439, GO:0003924 - GTPase activity; GO:0005525 - GTP binding,,,,,,,ENOG410PI1P,U,13086at33183,,,CPSG_05006,,-0.577368234130746,0.0180900986830655,-0.0975553556633662,0.540388335699625,no upreg,no upreg
D8B26_005125,hypothetical protein,,PF08552, GO:0070917 - inositol phosphoceramide synthase regulator activity, GO:0006673 - inositol phosphoceramide metabolic process,,4 (i16-35o55-75i87-114o192-213i),,,,ENOG410PMAG,S,12139at33183,,,CPSG_05007,CIMG_00267,0.417014303157361,0.0363163864106375,-0.484882622461544,0.00862411157794758,no upreg,no upreg
D8B26_005126,hypothetical protein,,PF00258;PF01077;PF01855;PF03460," GO:0010181 - FMN binding; GO:0051536 - iron-sulfur cluster binding; GO:0020037 - heme binding; GO:0016491 - oxidoreductase activity; GO:0003824 - catalytic activity; GO:0004783 - sulfite reductase (NADPH) activity; GO:0051539 - 4 iron, 4 sulfur cluster binding; GO:0050661 - NADP binding", GO:0055114 - oxidation-reduction process; GO:0008652 - cellular amino acid biosynthetic process, GO:0009337 - sulfite reductase complex (NADPH),,,,,ENOG410PFG9,P,10168at4751;224at33183,,,CPSG_05008,CIMG_00269,5.72617299502989,7.6579692545109e-05,0.822047296533819,0.0214745390155704,spherule_upreg,no upreg
D8B26_005127,hypothetical protein,,PF04801,," GO:0006351 - transcription, DNA-templated", GO:0005634 - nucleus,,,,,ENOG410PQ1V,K,10780at33183,,,,,,,,,,
D8B26_005128,DNA-directed RNA polymerase,RPO41,PF00940;PF14700, GO:0003677 - DNA binding; GO:0003899 - DNA-directed 5'-3' RNA polymerase activity," GO:0006351 - transcription, DNA-templated",,,,,,ENOG410PJAJ,K,14986at4751;393at33183,,,,,,,,,,
D8B26_005129,hypothetical protein,,PF04055, GO:0003824 - catalytic activity; GO:0051536 - iron-sulfur cluster binding,,,,,,,ENOG410PHTW,S,8953at33183,,,CPSG_05011,CIMG_00272,0.931386606817088,0.0098591728016446,0.600303741962978,0.0152399442243613,no upreg,no upreg
D8B26_005130,hypothetical protein,,PF01940,,, GO:0016021 - integral component of membrane,4 (n4-14c19/20o29-55i173-196o224-248i342-363o),,,,ENOG410PFG3,S,11109at33183,,,CPSG_05012,CIMG_00273,0.0596632989232235,0.787724523579896,0.723751069386299,0.00063257256951375,no upreg,no upreg
D8B26_005131,hypothetical protein,,,,,,,,,,ENOG410Q5DI,,,,,CPSG_05013,CIMG_00274,1.17563597931203,0.0184583573327252,0.393953230645649,0.478613107059611,spherule_upreg,no upreg
D8B26_005132,hypothetical protein,,PF10017;PF12867,,,,,,,,ENOG410PGJ9,S,1363at33183,,,CPSG_05015,CIMG_00276,0.890431374122773,0.0388028177758788,-0.572186010180086,0.0350270081576569,no upreg,no upreg
D8B26_005133,hypothetical protein,,,,,,2 (i253-277o292-317i),,,,ENOG410Q53X,,,,,CPSG_05017,CIMG_00277,1.17877867587546,0.00311467096226685,2.03358993974223,1.76672866936009e-06,spherule_upreg,spherule_upreg
D8B26_005134,hypothetical protein,,,,,,,,,,ENOG410PSF5,,,,,CPSG_05018,CIMG_00278,0.779664273916924,0.244464786558584,1.77832464355098,0.000652461222910776,no upreg,spherule_upreg
D8B26_005135,hypothetical protein,,PF00171," GO:0016491 - oxidoreductase activity; GO:0016620 - oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor", GO:0055114 - oxidation-reduction process,,1 (i127-152o),,,,ENOG410PFJV,C,5685at33183,,,CPSG_05020,CIMG_00280,-0.681907996442687,0.131033360317013,0.153760792373212,0.318466829743991,no upreg,no upreg
D8B26_005136,hypothetical protein,,,,,,,,,,ENOG410PS5D,S,11296at33183,,,CPSG_05021,CIMG_00281,0.948886094758143,0.00525846429589325,3.76218101295777,1.1467050354632e-07,no upreg,spherule_upreg
D8B26_005137,Transcription initiation factor IIA small chain (TFIIA 13.5 kDa subunit),TOA2,PF02268;PF02751,, GO:0006367 - transcription initiation from RNA polymerase II promoter, GO:0005672 - transcription factor TFIIA complex,,,,,ENOG410PPMK,K,15968at33183,,,CPSG_05022,CIMG_00282,0.513566085186618,0.0418677893733329,-0.594154487053873,0.00713512221504581,no upreg,no upreg
D8B26_005138,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,
D8B26_005139,hypothetical protein,,PF00349;PF03727," GO:0016773 - phosphotransferase activity, alcohol group as acceptor; GO:0005524 - ATP binding; GO:0005536 - glucose binding; GO:0004396 - hexokinase activity", GO:0005975 - carbohydrate metabolic process; GO:0001678 - cellular glucose homeostasis,,,,,,ENOG410PHN5,G,3666at33183,,,CPSG_05025,CIMG_00285,1.31472573955693,0.00304727374665332,-0.187088417362635,0.442355534369355,spherule_upreg,no upreg
D8B26_005140,hypothetical protein,,PF03227,,,,,,,,ENOG410PP7K,S,11789at33183,,,CPSG_05027,CIMG_00287,-1.00040815421502,0.00321871759462283,0.555433176359468,0.00225815341611961,hyphae_upreg,no upreg
D8B26_005141,hypothetical protein,,,,,,,,,,ENOG410PYK1,,,,,,,,,,,,
D8B26_005142,hypothetical protein,,PF07690, GO:0022857 - transmembrane transporter activity, GO:0055085 - transmembrane transport,,12 (i128-147o167-186i193-217o223-244i256-277o289-308i361- 382o394-415i427-452o458-482i494-516o522-548i),,,,ENOG410QDJ0,G,5722at33183,,,CPSG_05030,CIMG_00290,-2.23234402406505,0.00495770498802703,-2.33023388265717,6.50085693740537e-05,hyphae_upreg,hyphae_upreg
D8B26_005143,hypothetical protein,,PF04130;PF17681, GO:0043015 - gamma-tubulin binding, GO:0007020 - microtubule nucleation; GO:0000226 - microtubule cytoskeleton organization, GO:0005815 - microtubule organizing center; GO:0000922 - spindle pole,,,,,ENOG410PKU6,Z,2451at33183,,,CPSG_05031,CIMG_00291,-0.903962504136438,0.0152558704982551,-0.710230015315626,0.0190715626370728,no upreg,no upreg
D8B26_005144,E1 ubiquitin-activating protein,UBA1,PF00899;PF09358;PF10585;PF16190;PF16191, GO:0008641 - ubiquitin-like modifier activating enzyme activity, GO:0006464 - cellular protein modification process,,,,,,ENOG410PFZC,O,749at33183,,,CPSG_05032,CIMG_10518,0.091276897322544,0.730312527548297,-0.0499075209808968,0.773470322031019,no upreg,no upreg
D8B26_005145,S-glutathionyl-(chloro)hydroquinone reductase,ECM4,PF13409;PF13410, GO:0005515 - protein binding; GO:0004364 - glutathione transferase activity,,,,,,,ENOG410PFDC,O,8290at33183,,,CPSG_05033,CIMG_12887,1.94288068502197,0.000224475565432091,2.82311575882811,8.10828169698219e-06,spherule_upreg,spherule_upreg
D8B26_005146,hypothetical protein,,PF00036;PF00153;PF10591;PF13202;PF13499;PF13833, GO:0005347 - ATP transmembrane transporter activity; GO:0005509 - calcium ion binding, GO:0055085 - transmembrane transport,,,,,,ENOG410PHDS,C,3514at33183,,,CPSG_05034,CIMG_00294,1.16288798164847,0.00863640430972988,0.652215950297555,0.0215428992769654,spherule_upreg,no upreg
D8B26_005147,RNA polymerase II holoenzyme cyclin-like subunit,SSN8,, GO:0016538 - cyclin-dependent protein serine/threonine kinase regulator activity, GO:0006357 - regulation of transcription by RNA polymerase II, GO:0016592 - mediator complex; GO:0042025 - host cell nucleus,,,,,ENOG410PI7B,K,260896at4751;12063at33183,,,CPSG_05035,CIMG_00295,0.826172560763881,0.050818991820111,2.25275380446852,1.27590897413723e-06,no upreg,spherule_upreg
D8B26_005148,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,
D8B26_005149,hypothetical protein,,PF14618,,,,,,,,ENOG410PQ9V,S,15846at33183,,,CPSG_05036,CIMG_00297,-0.214981207315762,0.401029204751403,-0.846894763949242,0.0231278328238135,no upreg,no upreg
D8B26_005150,hypothetical protein,,,,,,,,,,ENOG410PS54,,,,,CPSG_05039,CIMG_00299,2.6382585965147,0.00130656090294088,3.71704303594095,6.13482389778757e-05,spherule_upreg,spherule_upreg
D8B26_005151,hypothetical protein,,PF05739,,,,1 (i255-273o),,,,ENOG410PJY6,U,12420at33183,,,CPSG_05040,CIMG_00300,0.554728000045493,0.0714786290098668,0.45679571975979,0.0626306861503762,no upreg,no upreg
D8B26_005152,hypothetical protein,,PF00097;PF13445;PF14634, GO:0008270 - zinc ion binding; GO:0005515 - protein binding,,,,,,,ENOG410PSE6,O,7111at33183,,,CPSG_05041,CIMG_00301,1.73629494442879,0.00339740446962168,0.660617831595963,0.0802611156568956,spherule_upreg,no upreg
D8B26_005153,hypothetical protein,,,,,,,SignalP(1-20),,,ENOG410Q55F,,,,,CPSG_05042,CIMG_00302,-4.95469435582274,9.27592849381127e-05,-1.69862435733072,0.000273650313632321,hyphae_upreg,hyphae_upreg
D8B26_005154,hypothetical protein,,PF07217,,,,,SignalP(1-28),,,ENOG410PFTA,S,2892at33183,,,CPSG_05043,CIMG_00303,0.371059151020448,0.357975789397246,0.00638095892712087,0.974244338236072,no upreg,no upreg
D8B26_005155,hypothetical protein,,PF03810, GO:0008536 - Ran GTPase binding, GO:0006886 - intracellular protein transport,,,,,,ENOG410PH26,"U,Y",130062at4751;1378at33183,,,CPSG_05044,CIMG_00304,-1.47145798991101,0.000522160651723902,-1.06758144349986,5.81652640125676e-05,hyphae_upreg,hyphae_upreg
D8B26_005156,hypothetical protein,,,,,,,,,,,,,,,CPSG_05045,,1.95535562294208,0.0335982493368421,3.10892857136195,9.01992962085354e-06,spherule_upreg,spherule_upreg
D8B26_005157,hypothetical protein,,PF02301,,,,,,,,ENOG410PQU7,D,13970at33183,,,CPSG_05047,CIMG_00305,2.71774053855226,0.00110814886303654,-0.0316542963773303,0.957232043468439,spherule_upreg,no upreg
D8B26_005158,hypothetical protein,,PF01485,,,,,,,,ENOG410PIRM,O,,,,CPSG_05048,CIMG_00306,1.53913385480096,0.00102777822361112,0.143645604501824,0.692267006350061,spherule_upreg,no upreg
D8B26_005159,hypothetical protein,,, GO:0008080 - N-acetyltransferase activity,,,,,,,ENOG410PFQ7,S,7772at33183,,,CPSG_05049,CIMG_00307,-3.91180495857095,0.000211901801109997,-0.501746486550575,0.0812632430105273,hyphae_upreg,no upreg
D8B26_005160,hypothetical protein,,PF09724,, GO:0007064 - mitotic sister chromatid cohesion, GO:0031390 - Ctf18 RFC-like complex,,,,,ENOG410PSDP,D,10853at33183,,,CPSG_05050,CIMG_00308,0.657601706941332,0.014434884091198,0.810980635706739,0.005746001082865,no upreg,no upreg
D8B26_005161,Mannan polymerase II complex anp1 subunit,ANP1,PF03452,,,,1 (i148-166o),,,,ENOG410PHYH,G,,GT62,,CPSG_05051,CIMG_00309,0.482087728209727,0.0508570748134765,0.479622992103791,0.0589410519408462,no upreg,no upreg
D8B26_005162,G4 quadruplex nucleic acid binding protein,ARC1,PF01588, GO:0000049 - tRNA binding,,,,,,,ENOG410PIC3,J,10191at33183,,,CPSG_05053,CIMG_10524,-0.706475974254706,0.0144518790697515,-0.7486914596992,0.000197623911933843,no upreg,no upreg
D8B26_005163,tethering complex subunit,PEP3,PF00026, GO:0004190 - aspartic-type endopeptidase activity, GO:0006508 - proteolysis,,,SignalP(1-25),,MER0003668,ENOG410PHZY,O,7659at33183,,,CPSG_05054,CIMG_00311,2.17031216841606,0.0233405022827465,3.05301006949762,1.63179188736107e-06,spherule_upreg,spherule_upreg
D8B26_005164,hypothetical protein,,, GO:0008237 - metallopeptidase activity; GO:0004222 - metalloendopeptidase activity,,,,SignalP(1-27),,,ENOG410Q5EX,,,,,CPSG_05055,CIMG_00313,-0.407174700076093,0.254925068573532,0.353937689303298,0.461823357085936,no upreg,no upreg
D8B26_005165,hypothetical protein,,,,,,1 (o212-234i),,,,ENOG410PTP9,,,,,CPSG_05056,CIMG_00314,-0.017328498560958,0.976415611082405,0.198662095423062,0.566311029111018,no upreg,no upreg
D8B26_005166,cytosolic Fe-S cluster assembly factor nbp35,NBP35,PF10609, GO:0005524 - ATP binding,,,,,,,ENOG410PHVZ,D,,,,CPSG_05057,CIMG_00315,0.310690130776597,0.115011441645955,0.0182334735452843,0.95145454940709,no upreg,no upreg
D8B26_005167,phosphatidylethanolamine N-methyltransferase,CHO2,PF04191, GO:0004608 - phosphatidylethanolamine N-methyltransferase activity, GO:0006644 - phospholipid metabolic process,,9 (i83-102o108-130i224-244o303-321i388-406o412-436i466- 486o492-513i572-591o),,,,ENOG410PFFD,I,1023at33183,,,CPSG_05058,CIMG_00316,-0.119630329230767,0.758095339128616,0.0846471030765565,0.697396397789172,no upreg,no upreg
D8B26_005168,3'-5'-exoribonuclease,MTR3_1,PF01138,,,,,,,,ENOG410PIBF,J,11250at33183,,,CPSG_05059,CIMG_00317,-0.103819546575767,0.752668158617944,0.19928557156369,0.346573299795918,no upreg,no upreg
D8B26_005169,3'-5'-exoribonuclease,MTR3_2,,,,,,,,,ENOG410PIBF,J,,,,,,,,,,,
